"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"63","Uganda","Kayunga","Bbaale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.026994306915,7.53042277053159,69.0888611524671,0,0,0,0,0,3.28159185176711,0,46.3816858266022,25.8047648107835,831.23521519056,0.0938354442995997,0.100136034757434,0,22.6045569878879,99.062576344062,0.161712880009492,1.06071507551326,0.00358749700656968,0.00461764841105247,0.223999692880493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533.7,427.026994306915,7.53042277053159,69.0888611524671,0,0,0,0,0,3.28159185176711,0,46.3816858266022,25.8047648107835,831.23521519056,0.0938354442995997,0.100136034757434,0,22.6045569878879,99.062576344062,0.161712880009492,1.06071507551326,0.00358749700656968,0.00461764841105247,0.223999692880493,0,0,1533.66527351446,0,1533.7,100
"64","Uganda","Kayunga","Ntenjeru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.569473678029,1.47036317216645,51.3018792888096,0,0,0,0,0,0.286294019811762,0,29.509807490355,5.29761281951124,629.728528722976,0,0.143595841751445,0,13.9282244099124,82.3442510669279,0,0.103663984025228,0,0,0.0187612985255003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137.7,323.569473678029,1.47036317216645,51.3018792888096,0,0,0,0,0,0.286294019811762,0,29.509807490355,5.29761281951124,629.728528722976,0,0.143595841751445,0,13.9282244099124,82.3442510669279,0,0.103663984025228,0,0,0.0187612985255003,0,0,1137.7024557928,0,1137.7,100
"74","Uganda","Kotido","Labwor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000849032710564292,0.00256870573578648,0.0225289739502057,0,0,0,0,0,0,0,0.728392948870269,0,0.000835489797013709,0,0.010263029207884,0.0049594049288668,0.000165402382127294,0.0170035528406818,0,0,0,0,0,0,0,0.00127262372595035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413268258829167,0,0,0,0,0,0.8,0.000849032710564292,0.00256870573578648,0.0238015976761561,0,0,0,0,0,0,0,0.728392948870269,0,0.000835489797013709,0,0.010263029207884,0.0049594049288668,0.000165402382127294,0.0211362354289734,0,0,0,0,0,0,0,0.787566540423399,0.00540530631424202,0.8,100
"77","Uganda","Kumi","Ngora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.908212631035,126.582249248648,496.059238925323,0,0,0,0,0,2.60423064629264,0,194.549730122297,0,379.289650720388,0.477672139455834,245.778249653635,32.2165478475278,14.8562780183852,730.699626067502,0.530575779046924,2.40190925127995,0,0.0175443197834075,0.598441036049388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882.6,655.908212631035,126.582249248648,496.059238925323,0,0,0,0,0,2.60423064629264,0,194.549730122297,0,379.289650720388,0.477672139455834,245.778249653635,32.2165478475278,14.8562780183852,730.699626067502,0.530575779046924,2.40190925127995,0,0.0175443197834075,0.598441036049388,0,0,2882.57015640665,0,2882.6,100
"82","Uganda","Lira","Dokolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.651116697609,196.537881401815,373.439705802426,0,0,0,0,0,10.6853217299843,0,230.284955015724,3.06126106332911,248.474907138594,0.243316882726258,23.8506421157262,988.960273119952,260.477645392082,250.333597134987,0.739835221418076,2.97358819304004,0,0.013811773866429,0.589070248533679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930.3,339.651116697609,196.537881401815,373.439705802426,0,0,0,0,0,10.6853217299843,0,230.284955015724,3.06126106332911,248.474907138594,0.243316882726258,23.8506421157262,988.960273119952,260.477645392082,250.333597134987,0.739835221418076,2.97358819304004,0,0.013811773866429,0.589070248533679,0,0,2930.31692893181,0,2930.3,100
"83","Uganda","Lira","Erute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902.900893507731,361.39965381066,858.106522824084,0,0,0,0,0,18.4288973319635,0,394.6986285763,5.04862128057195,529.22275975347,0.0440995606739119,10.3362383005258,2871.4355371561,694.123455216173,523.151954024193,0.411871142008824,6.53393289200857,0,0.00385260124337136,1.15401429955695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7177,902.900893507731,361.39965381066,858.106522824084,0,0,0,0,0,18.4288973319635,0,394.6986285763,5.04862128057195,529.22275975347,0.0440995606739119,10.3362383005258,2871.4355371561,694.123455216173,523.151954024193,0.411871142008824,6.53393289200857,0,0.00385260124337136,1.15401429955695,0,0,7177.00093227727,0,7177,100
"84","Uganda","Lira","Kyoga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.304175591316,14.1199545445641,133.662613349847,0,0,0,0,0,3.05286909154734,0,100.467525623865,0.656163635332424,104.418158960379,0,1.19691338821492,53.4184249604099,34.142119245396,3237.03504548086,0,0.996220727727184,0,0,0.239627561630363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3810.7,127.304175591316,14.1199545445641,133.662613349847,0,0,0,0,0,3.05286909154734,0,100.467525623865,0.656163635332424,104.418158960379,0,1.19691338821492,53.4184249604099,34.142119245396,3237.03504548086,0,0.996220727727184,0,0,0.239627561630363,0,0,3810.70981216109,0,3810.7,100
"85","Uganda","Lira","Lira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.392638431425,26.0500851864629,120.06210530115,0,0,0,0,0,0.161866612325413,0,42.7195916236307,0.621296639936862,82.4097201745033,0,0.746373930698681,368.930245633153,86.2359275611916,53.5782681552558,0,0.050356818247945,0,0,0.0103909590392054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,111.392638431425,26.0500851864629,120.06210530115,0,0,0,0,0,0.161866612325413,0,42.7195916236307,0.621296639936862,82.4097201745033,0,0.746373930698681,368.930245633153,86.2359275611916,53.5782681552558,0,0.050356818247945,0,0,0.0103909590392054,0,0,892.968867027021,0,893,100
"86","Uganda","Lira","Moroto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212.24403369175,617.240411887193,1126.45144929538,0,0,0,0,0,73.5644950359663,0,625.186802917079,3.6631180665645,882.161023976573,3.45253233623858,29.1843336206691,4267.6947297145,1061.14002031031,496.508977238384,12.0479612290032,24.1512768272475,0,0.501388379733925,4.82767613216107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11440,2212.24403369175,617.240411887193,1126.45144929538,0,0,0,0,0,73.5644950359663,0,625.186802917079,3.6631180665645,882.161023976573,3.45253233623858,29.1843336206691,4267.6947297145,1061.14002031031,496.508977238384,12.0479612290032,24.1512768272475,0,0.501388379733925,4.82767613216107,0,0,11440.0202306588,0,11440,100
"87","Uganda","Lira","Otuke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.355052349288,350.68034177019,348.416594945389,0,0,0,0,0,20.503606797647,0,359.93900066032,1.77022148668149,254.126039933861,0,8.86481347796472,1738.56275087586,295.769755894052,230.757243290923,0,4.56933197927037,0,0,1.08322527534358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4156.4,541.355052349288,350.68034177019,348.416594945389,0,0,0,0,0,20.503606797647,0,359.93900066032,1.77022148668149,254.126039933861,0,8.86481347796472,1738.56275087586,295.769755894052,230.757243290923,0,4.56933197927037,0,0,1.08322527534358,0,0,4156.39797873679,0,4156.4,100
