"","COUNTRY","NAME_1","MAIZ_curr_t_l_ph_h_hp","SORG_curr_t_l_ph_h_hp","BEAN_curr_t_l_ph_h_hp","CHIC_curr_t_l_ph_h_hp","LENT_curr_t_l_ph_h_hp","WHEA_curr_t_l_ph_h_hp","BARL_curr_t_l_ph_h_hp","ACOF_curr_t_l_ph_h_hp","RCOF_curr_t_l_ph_h_hp","PMIL_curr_t_l_ph_h_hp","SMIL_curr_t_l_ph_h_hp","POTA_curr_t_l_ph_h_hp","SWPO_curr_t_l_ph_h_hp","CASS_curr_t_l_ph_h_hp","COWP_curr_t_l_ph_h_hp","PIGE_curr_t_l_ph_h_hp","SOYB_curr_t_l_ph_h_hp","GROU_curr_t_l_ph_h_hp","SUGC_curr_t_l_ph_h_hp","COTT_curr_t_l_ph_h_hp","COCO_curr_t_l_ph_h_hp","TEAS_curr_t_l_ph_h_hp","TOBA_curr_t_l_ph_h_hp","MAIZ_curr_t_l_ph_l_hp","SORG_curr_t_l_ph_l_hp","BEAN_curr_t_l_ph_l_hp","CHIC_curr_t_l_ph_l_hp","LENT_curr_t_l_ph_l_hp","WHEA_curr_t_l_ph_l_hp","BARL_curr_t_l_ph_l_hp","ACOF_curr_t_l_ph_l_hp","RCOF_curr_t_l_ph_l_hp","PMIL_curr_t_l_ph_l_hp","SMIL_curr_t_l_ph_l_hp","POTA_curr_t_l_ph_l_hp","SWPO_curr_t_l_ph_l_hp","CASS_curr_t_l_ph_l_hp","COWP_curr_t_l_ph_l_hp","PIGE_curr_t_l_ph_l_hp","SOYB_curr_t_l_ph_l_hp","GROU_curr_t_l_ph_l_hp","SUGC_curr_t_l_ph_l_hp","COTT_curr_t_l_ph_l_hp","COCO_curr_t_l_ph_l_hp","TEAS_curr_t_l_ph_l_hp","TOBA_curr_t_l_ph_l_hp","MAIZ_curr_t_h_ph_h_hp","SORG_curr_t_h_ph_h_hp","BEAN_curr_t_h_ph_h_hp","CHIC_curr_t_h_ph_h_hp","LENT_curr_t_h_ph_h_hp","WHEA_curr_t_h_ph_h_hp","BARL_curr_t_h_ph_h_hp","ACOF_curr_t_h_ph_h_hp","RCOF_curr_t_h_ph_h_hp","PMIL_curr_t_h_ph_h_hp","SMIL_curr_t_h_ph_h_hp","POTA_curr_t_h_ph_h_hp","SWPO_curr_t_h_ph_h_hp","CASS_curr_t_h_ph_h_hp","COWP_curr_t_h_ph_h_hp","PIGE_curr_t_h_ph_h_hp","SOYB_curr_t_h_ph_h_hp","GROU_curr_t_h_ph_h_hp","SUGC_curr_t_h_ph_h_hp","COTT_curr_t_h_ph_h_hp","COCO_curr_t_h_ph_h_hp","TEAS_curr_t_h_ph_h_hp","TOBA_curr_t_h_ph_h_hp","MAIZ_curr_t_h_ph_l_hp","SORG_curr_t_h_ph_l_hp","BEAN_curr_t_h_ph_l_hp","CHIC_curr_t_h_ph_l_hp","LENT_curr_t_h_ph_l_hp","WHEA_curr_t_h_ph_l_hp","BARL_curr_t_h_ph_l_hp","ACOF_curr_t_h_ph_l_hp","RCOF_curr_t_h_ph_l_hp","PMIL_curr_t_h_ph_l_hp","SMIL_curr_t_h_ph_l_hp","POTA_curr_t_h_ph_l_hp","SWPO_curr_t_h_ph_l_hp","CASS_curr_t_h_ph_l_hp","COWP_curr_t_h_ph_l_hp","PIGE_curr_t_h_ph_l_hp","SOYB_curr_t_h_ph_l_hp","GROU_curr_t_h_ph_l_hp","SUGC_curr_t_h_ph_l_hp","COTT_curr_t_h_ph_l_hp","COCO_curr_t_h_ph_l_hp","TEAS_curr_t_h_ph_l_hp","TOBA_curr_t_h_ph_l_hp","total","MAIZ_curr_t","SORG_curr_t","BEAN_curr_t","CHIC_curr_t","LENT_curr_t","WHEA_curr_t","BARL_curr_t","ACOF_curr_t","RCOF_curr_t","PMIL_curr_t","SMIL_curr_t","POTA_curr_t","SWPO_curr_t","CASS_curr_t","COWP_curr_t","PIGE_curr_t","SOYB_curr_t","GROU_curr_t","SUGC_curr_t","COTT_curr_t","COCO_curr_t","TEAS_curr_t","TOBA_curr_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"1","Kenya","Baringo",715.352978192052,13.2722208119859,110.251048339102,0,0,940.042071420874,51.5575128506134,0,0,38.9554974881224,0,3769.76786775246,18.5306517318861,0,0,0,0.177447599283957,0.0338976007919549,0,0,0,0,0,1434.26183620442,20.0576295467741,289.144601060249,0,0,56.6116206480788,0,0,0,56.25673559926,0,4992.66370209368,0,0,0,0,0,0,0,0,0,0,0,713.095461603443,23.8804988976483,189.48028318332,0,0,0,0,9.48411723089703,0,0,0,140.854473877468,0,0,0,0,0.286621908792572,2.09427137326126,0,0,0,0,0,37941.847544646,713.19603920293,5609.10363362987,0,0,988.303791424146,345.984355986709,310.948137925775,0,250.163779187698,0,16730.1096711738,228.585636896355,0,0,0,34.4422962164909,144.401048380754,0,0,0,171.905857833033,3.63109109290332,77058.8,40804.557820646,770.406388459338,6197.97956621254,0,0,1984.9574834931,397.541868837322,320.432255156672,0,345.376012275081,0,25633.3957148974,247.116288628241,0,0,0,34.9063657245675,146.529217354807,0,0,0,171.905857833033,3.63109109290332,5657.94119378717,6848.99612515246,1079.17572807483,63472.6228835966,6737.1,8.7
"2","Kenya","Bomet",8647.43540578705,76.5205861707427,839.330477358928,0,0,480.011838571509,146.321089986386,19.7849994015648,0,47.8671973723744,0,5454.65730191445,703.106216649861,0,0,0,2.40340970996518,9.24213167477703,0,0,0,4276.51667885642,28.5968828890428,3505.67445504959,44.2853370270312,438.364909871987,0,0,293.645688648168,71.1417166309911,5.73169427015182,0,32.750672735491,0,2300.6581168784,507.769850240136,0,0,0,0,0,0,0,0,3662.24958764143,0,42355.9051080128,240.21891825437,2673.0805124088,0,0,1070.65023666945,139.704873854204,40.005231459647,0,222.392160681321,0,16629.4818650951,4147.52744314317,0,0,0,31.0926102991476,19.5604043361829,0,0,0,5725.53122308118,191.716505326288,20749.9778435234,222.409530561147,3109.95690786438,0,0,596.703960801821,222.864414767426,68.6979194845603,0,220.24745439111,0,16613.5079115182,2763.19775875365,0,0,0,9.27690237530442,2.41426234493682,0,0,0,19127.1855622261,49.8962325271606,168837.3,75258.9928123729,583.434372013291,7060.7328075041,0,0,2441.01172469095,580.032095239007,134.219844615924,0,523.257485180296,0,40998.3051954062,8121.60126878681,0,0,0,42.7729223844172,31.2167983558968,0,0,0,32791.4830518051,270.209620742491,20731.7942163431,10862.2720289934,73486.8670926217,63756.3366611393,94218.7,55.8
"3","Kenya","Bungoma",9503.2024861324,456.279563086011,1523.70107197149,0,0,0,0,0,0,81.3057942402297,0,800.145959590365,4996.75842425706,1937.85953951586,31.0868313185448,0,7.96032370919445,44.6886753901738,52502.2521341706,0,0,0,303.952820576612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98060.4628224437,5224.58570426361,22254.6359029183,8.06110299037573,3.59116307589797,122.255535892486,0,46.7225550166279,0,708.789662192655,48.2616136815041,41457.0267611722,56627.8617469988,25669.0417877369,455.063147512627,0,178.204919977097,530.404452699129,494690.876051499,33.6693900426741,0,218.630123665391,4562.13680865706,33213.7964258184,2069.83128231773,7264.22155830407,0,1.89575739220952,1617.49704161864,145.509707045191,32.9247313242188,0,22.0014667880731,0,18385.6668467593,4084.99184818822,150.355403600602,39.0910031375103,0,33.9813733806671,1.82947209685135,46553.7236052495,0,0,0,885.418460489052,937592.1,140777.461734394,7750.69654966735,31042.5585331938,8.06110299037573,5.48692046810749,1739.75257751113,145.509707045191,79.6472863408467,0,812.096923220958,48.2616136815041,60642.839567522,65709.6120194441,27757.2567308533,525.240981968682,0,220.146617066958,576.922600186154,593746.851790919,33.6693900426741,0,218.630123665391,5751.50808972272,72189.1936239586,0,750900.281252436,114502.73598351,823089.5,87.8
"4","Kenya","Busia",8357.24227171222,481.182102901777,1722.17863000189,0,0,0,0,0,0,96.9827912865567,0,2.25840177259025,5725.96945939783,3306.10509166463,41.0224883504288,0,0,74.176645880103,53446.2019832702,0.59153360523834,0,0,5.25310048468275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65495.6652919945,3634.85566934852,10229.2213692877,0,0,0,0,51.1336224623446,343.934618421747,376.893419351584,6064.07175200752,45.7171045315713,39917.8713784433,28053.125642785,256.069105272476,0,151.904659497573,643.718203559268,326040.408746869,189.079588884995,0,73.9728494487443,1271.04194326349,3431.3285510885,234.661524142236,909.857832343637,0,0,0,0,0,0.226370459187031,54.3910601190541,0,0,1831.41892188078,882.675302292671,26.9904681761345,0,0.049737277034887,30.4130450971235,22277.0770482357,0.0493977279940789,0,1.11436357900013,2.87369457939849,585781,77284.2361147952,4350.69929639254,12861.2578316332,0,0,0,0,51.1336224623446,344.160988880934,528.267270757195,6064.07175200752,47.9755063041616,47475.2597597219,32241.9060367423,324.082061799039,0,151.954396774608,748.307894536494,401763.687778375,189.720520218227,0,75.0872130277444,1279.16873832757,73259.1645003282,0,482838.68496543,29683.1273169984,556097.9,94.9
"5","Kenya","Elgeyo-Marakwet",10188.9566543067,493.315133390167,3386.04672767668,0,0,2864.03092277052,101.668796018266,6.10834550865593,0,386.375420019482,0,43002.634490397,106.296199772633,0,0,0,0.166693207522112,0.406053570600307,0,0,0,0,3.15823244010648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22172.5932234559,726.525654493141,4438.68766948582,0,0,2248.9495188095,144.261033508985,3.10261414563664,0,1079.84630097201,0,33277.297189566,2418.03926125932,0,0,0,0.204333607066715,23.9919253660538,64.8209443262917,0,0,0,24.6260100419492,27046.4923515225,77.1674803528955,3504.27776057207,0,0,9566.7265762396,382.946189234724,15.2832834727542,0,1170.38831350007,0,5978.65605990237,429.907472463887,0,0,0,1.48292236897419,68.9055725683003,454.672648677744,0,0,0,0,175859,59408.0422292851,1297.0082682362,11329.0121577346,0,0,14679.7070178196,628.876018761974,24.4942431270468,0,2636.61003449157,0,82258.5877398654,2954.24293349584,0,0,0,1.85394918356301,93.3035515049543,519.493593004036,0,0,0,27.7842424820556,60539.1636690783,0,66622.9456790377,48696.9066308758,127162.1,72.3
"6","Kenya","Embu",10483.7839073804,13.680213793482,3547.57241421756,0,0,0,0,1057.66864464234,0,0,0,8499.20232449689,0,0,0,0,0,0,0,0,0,7561.22222712823,3.02819992856979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17916.6928950487,273.17619281497,4566.6665475122,77.995610204794,0.00818160016495884,0,0,2024.49437662471,0,89.296218319289,0,2121.12012217668,433.967966586236,191.101603144361,325.03417446352,104.388458821149,0.292496360932446,0,0,35.5691680642958,0,2350.2842190105,97.9218858845046,50045.4306275303,3725.80698877145,10187.5514637807,0,0,0,0,1162.23586623833,0,1521.24598191673,0,1026.24185594962,10470.5233659641,4346.54960097727,3713.90142191723,2176.92051939137,2.72793611748958,0,0,634.591967506303,0,548.585541905788,874.335799808989,152210.8,78445.9074299594,4012.66339537991,18301.7904255104,77.995610204794,0.00818160016495884,0,0,4244.39888750538,0,1610.54220023602,0,11646.5643026232,10904.4913325503,4537.65120412164,4038.93559638075,2281.30897821252,3.02043247842202,0,0,670.161135570598,0,10460.0919880445,975.285885622064,31166.1579315874,0,30608.010116637,90436.6489377757,61774.1,40.6
"7","Kenya","Garissa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.338060125059,1342.21367603011,406.404174896115,0,0,0,0,0,0,0.249797705659428,0,0,596.733731961379,14995.3515145257,55.0895072274337,4.76023847734059,0,24.6890298924875,53.3185214113551,12.5705302755964,0,0,0,18302.8,811.338060125059,1342.21367603011,406.404174896115,0,0,0,0,0,0,0.249797705659428,0,0,596.733731961379,14995.3515145257,55.0895072274337,4.76023847734059,0,24.6890298924875,53.3185214113551,12.5705302755964,0,0,0,0,0,0,18302.7187825282,0,0
"8","Kenya","Homa Bay",4178.37490283552,600.289474142523,0,0,1.46300001442432,0,0,0,0,195.256887087399,0,361.476522935918,0,3054.67941788398,13.9718807316868,0,29.8949026837359,161.641189993644,8390.09807206085,122.650524139484,0,567.69124910752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69914.7395655054,9079.42210558517,248.334469550566,0,7.14819493875948,2.04726465051193,0,22.6828846526416,0,2081.26634904389,0,1440.81654045564,596.656498311932,41953.2393416288,408.84567847774,0,346.165208257883,4246.50981038084,358632.259845754,963.498356260999,0,3627.80552070284,0,24598.2837552018,4116.86794577406,0,0,0,0,0,0,0,123.486858032357,0,30.4444279382358,0,12007.4242146491,80.1649912565486,0,3.97997348156063,1683.64297656852,49060.9235244376,322.721517543119,0,0,0,603276.9,98691.3982235428,13796.5795255017,248.334469550566,0,8.6111949531838,2.04726465051193,0,22.6828846526416,0,2400.01009416365,0,1832.7374913298,596.656498311932,57015.3429741619,502.982550465975,0,380.04008442318,6091.793976943,416083.281442252,1408.8703979436,0,4195.49676981036,0,17677.4880236167,0,493571.437634158,92027.9401848829,511249,84.7
"9","Kenya","Isiolo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3827.18331462183,768.705726894163,740.743490721171,0,8.9689260559021,42.2873438003662,12.6741998990059,126.360954159969,0,112.263187627182,0,589.023310789831,8126.99278895825,366.55384449683,273.094420182167,205.038973909502,0,29.7606255982628,0,65.2143264470124,0,44.0357490169731,35.4187802085552,15374.4,3827.18331462183,768.705726894163,740.743490721171,0,8.9689260559021,42.2873438003662,12.6741998990059,126.360954159969,0,112.263187627182,0,589.023310789831,8126.99278895825,366.55384449683,273.094420182167,205.038973909502,0,29.7606255982628,0,65.2143264470124,0,44.0357490169731,35.4187802085552,0,0,0,15374.319963387,0,0
"10","Kenya","Kajiado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3041.26915003045,2.32841365006851,1282.18753092951,0,0,18.4746907416327,0,158.692451117011,0,0,41.0050858161667,15034.7399632714,243.992171033662,0,49.7044376736517,33.2904277904211,0,0,0,0,0,0,0,63807.0349931744,252.884871248631,27030.4448915306,0,12.0614456167377,677.865461075508,26.6300146672392,421.640135908284,0,119.477974314598,59.4901281992361,59790.1682787197,1794.8447491613,245.873601921794,398.67884777618,434.479585453432,0,13.8289011034936,0,85.0604399930951,0,1238.7475090655,0.346039012576313,176315.2,66848.3041432048,255.2132848987,28312.6324224601,0,12.0614456167377,696.340151817141,26.6300146672392,580.332587025295,0,119.477974314598,100.495214015403,74824.9082419912,2038.83692019496,245.873601921794,448.383285449832,467.770013243853,0,13.8289011034936,0,85.0604399930951,0,1238.7475090655,0.346039012576313,0,0,19905.684322054,156409.557867942,19905.7,11.3
