"","COUNTRY","NAME_1","NAME_2","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"36","Ethiopia","Oromia","Mirab Arsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9976434219112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,43.9976434219112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9976434219112,0,44,100
"38","Ethiopia","Oromia","Mirab Shewa",0,0,5.40799999237061,160.751998901367,28.7999992370605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4858.8101267601,3241.4046872468,320.786974560917,9224.14181018616,1666.9063789013,2665.57064011405,3052.37010438379,0,0,0,16.7967858868747,176.657098926362,9.63092194015758,0,0,0,1.26119218142904,100.117858003464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25529.4,4858.8101267601,3241.4046872468,326.194974553288,9384.89380908753,1695.70637813836,2665.57064011405,3052.37010438379,0,0,0,16.7967858868747,176.657098926362,9.63092194015758,0,0,0,1.26119218142904,100.117858003464,0,0,0,0,0,194.959998130798,0,25334.4545790914,0,25529.4,100
"39","Ethiopia","Oromia","Mirab Welega",124764.410883929,91192.1391928841,17249.3343750344,7240.89031742336,416.703531594789,10205.2154438676,6935.74437898501,31355.8402907319,0,0,51456.7922200786,590.186831536327,5079.26568510922,0,0,0,759.073793456079,725.340024564787,0,82.2344280771094,0,0,107.050356933681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495.43331254685,1996.6768328605,2249.50500083459,554.871360825967,24.9081902527649,226.081530955051,124.604710568343,0,0,0,1042.37878583516,13.7208103809746,86.3657432252608,0,0,0,13.3764909738975,92.2845047505214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357080.4,127259.844196476,93188.8160257446,19498.839375869,7795.76167824933,441.611721847553,10431.2969748226,7060.34908955335,31355.8402907319,0,0,52499.1710059137,603.907641917302,5165.63142833448,0,0,0,772.450284429976,817.624529315308,0,82.2344280771094,0,0,107.050356933681,348160.221754206,0,8920.20727400988,0,357080.4,100
"42","Ethiopia","Oromia","Misraq Wellega",149166.904063834,70803.4766262271,2694.51172653182,1503.19082241552,183.149640656735,44741.3194167814,18935.2084880965,8809.72610087842,0,0,19695.1418993489,560.680389861997,564.45291458239,0,0,0,537.4320878448,1400.66306215488,0,10.7040000408888,0,0,42.7030740826903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35723.5836480903,17512.5237086285,884.928391584922,1217.91465524044,174.009695167268,11092.7423392699,5009.09464119625,371.671997070312,0,0,5494.8991862225,178.540907269483,162.024442294744,0,0,0,183.652125205901,1775.23673443553,0,0,0,0,2.23200011253357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399432.3,184890.487711924,88316.0003348556,3579.44011811675,2721.10547765597,357.159335824003,55834.0617560513,23944.3031292928,9181.39809794873,0,0,25190.0410855714,739.22129713148,726.477356877134,0,0,0,721.084213050701,3175.89979659042,0,10.7040000408888,0,0,44.9350741952238,319649.264313338,0,79783.0544717887,0,399432.3,100
"56","Ethiopia","Southern Nations, Nationalities","Basketo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.798911561081,44.1051317062546,2.77045467849399,0,0,0,0,0,0,0,0,0,0,0,0,1.07103616587479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7,0,0,403.798911561081,44.1051317062546,2.77045467849399,0,0,0,0,0,0,0,0,0,0,0,0,1.07103616587479,0,0,0,0,0,0,0,451.745534111704,0,451.7,100
"59","Ethiopia","Southern Nations, Nationalities","Dawro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4323.36785444961,318.2248597179,236.657479241581,0,0,0,0,0,0,0,0,0,0,0,0,78.0051133144571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4956.3,0,0,4323.36785444961,318.2248597179,236.657479241581,0,0,0,0,0,0,0,0,0,0,0,0,78.0051133144571,0,0,0,0,0,0,0,4956.25530672355,0,4956.3,100
"62","Ethiopia","Southern Nations, Nationalities","Gamo Gofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.46350661145,671.428545047815,11060.6935997522,240.774198680905,101.83981266159,4443.77746006021,2965.03883183993,0,0,0,2.07718754439304,988.479813731705,0,0,0,0,0,67.4817030780485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22336.1,1794.46350661145,671.428545047815,11060.6935997522,240.774198680905,101.83981266159,4443.77746006021,2965.03883183993,0,0,0,2.07718754439304,988.479813731705,0,0,0,0,0,67.4817030780485,0,0,0,0,0,0,0,22336.0546590083,0,22336.1,100
"63","Ethiopia","Southern Nations, Nationalities","Gedeo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7951340200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301488808376805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,51.7951340200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301488808376805,0,0,0,0,0,0,0,52.096622828457,0,52.1,100
"64","Ethiopia","Southern Nations, Nationalities","Gurage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.267066720349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.3,0,0,687.267066720349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.267066720349,0,687.3,100
"65","Ethiopia","Southern Nations, Nationalities","Hadiya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040.04014942234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,1040.04014942234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040.04014942234,0,1040,100
