"","COUNTRY","NAME_1","NAME_2","MAIZ_lr_tha_l_ph_h_hp","SORG_lr_tha_l_ph_h_hp","BEAN_lr_tha_l_ph_h_hp","CHIC_lr_tha_l_ph_h_hp","LENT_lr_tha_l_ph_h_hp","WHEA_lr_tha_l_ph_h_hp","BARL_lr_tha_l_ph_h_hp","ACOF_lr_tha_l_ph_h_hp","RCOF_lr_tha_l_ph_h_hp","PMIL_lr_tha_l_ph_h_hp","SMIL_lr_tha_l_ph_h_hp","POTA_lr_tha_l_ph_h_hp","SWPO_lr_tha_l_ph_h_hp","CASS_lr_tha_l_ph_h_hp","COWP_lr_tha_l_ph_h_hp","PIGE_lr_tha_l_ph_h_hp","SOYB_lr_tha_l_ph_h_hp","GROU_lr_tha_l_ph_h_hp","SUGC_lr_tha_l_ph_h_hp","COTT_lr_tha_l_ph_h_hp","COCO_lr_tha_l_ph_h_hp","TEAS_lr_tha_l_ph_h_hp","TOBA_lr_tha_l_ph_h_hp","MAIZ_lr_tha_l_ph_l_hp","SORG_lr_tha_l_ph_l_hp","BEAN_lr_tha_l_ph_l_hp","CHIC_lr_tha_l_ph_l_hp","LENT_lr_tha_l_ph_l_hp","WHEA_lr_tha_l_ph_l_hp","BARL_lr_tha_l_ph_l_hp","ACOF_lr_tha_l_ph_l_hp","RCOF_lr_tha_l_ph_l_hp","PMIL_lr_tha_l_ph_l_hp","SMIL_lr_tha_l_ph_l_hp","POTA_lr_tha_l_ph_l_hp","SWPO_lr_tha_l_ph_l_hp","CASS_lr_tha_l_ph_l_hp","COWP_lr_tha_l_ph_l_hp","PIGE_lr_tha_l_ph_l_hp","SOYB_lr_tha_l_ph_l_hp","GROU_lr_tha_l_ph_l_hp","SUGC_lr_tha_l_ph_l_hp","COTT_lr_tha_l_ph_l_hp","COCO_lr_tha_l_ph_l_hp","TEAS_lr_tha_l_ph_l_hp","TOBA_lr_tha_l_ph_l_hp","MAIZ_lr_tha_h_ph_h_hp","SORG_lr_tha_h_ph_h_hp","BEAN_lr_tha_h_ph_h_hp","CHIC_lr_tha_h_ph_h_hp","LENT_lr_tha_h_ph_h_hp","WHEA_lr_tha_h_ph_h_hp","BARL_lr_tha_h_ph_h_hp","ACOF_lr_tha_h_ph_h_hp","RCOF_lr_tha_h_ph_h_hp","PMIL_lr_tha_h_ph_h_hp","SMIL_lr_tha_h_ph_h_hp","POTA_lr_tha_h_ph_h_hp","SWPO_lr_tha_h_ph_h_hp","CASS_lr_tha_h_ph_h_hp","COWP_lr_tha_h_ph_h_hp","PIGE_lr_tha_h_ph_h_hp","SOYB_lr_tha_h_ph_h_hp","GROU_lr_tha_h_ph_h_hp","SUGC_lr_tha_h_ph_h_hp","COTT_lr_tha_h_ph_h_hp","COCO_lr_tha_h_ph_h_hp","TEAS_lr_tha_h_ph_h_hp","TOBA_lr_tha_h_ph_h_hp","MAIZ_lr_tha_h_ph_l_hp","SORG_lr_tha_h_ph_l_hp","BEAN_lr_tha_h_ph_l_hp","CHIC_lr_tha_h_ph_l_hp","LENT_lr_tha_h_ph_l_hp","WHEA_lr_tha_h_ph_l_hp","BARL_lr_tha_h_ph_l_hp","ACOF_lr_tha_h_ph_l_hp","RCOF_lr_tha_h_ph_l_hp","PMIL_lr_tha_h_ph_l_hp","SMIL_lr_tha_h_ph_l_hp","POTA_lr_tha_h_ph_l_hp","SWPO_lr_tha_h_ph_l_hp","CASS_lr_tha_h_ph_l_hp","COWP_lr_tha_h_ph_l_hp","PIGE_lr_tha_h_ph_l_hp","SOYB_lr_tha_h_ph_l_hp","GROU_lr_tha_h_ph_l_hp","SUGC_lr_tha_h_ph_l_hp","COTT_lr_tha_h_ph_l_hp","COCO_lr_tha_h_ph_l_hp","TEAS_lr_tha_h_ph_l_hp","TOBA_lr_tha_h_ph_l_hp","total","MAIZ_lr_tha","SORG_lr_tha","BEAN_lr_tha","CHIC_lr_tha","LENT_lr_tha","WHEA_lr_tha","BARL_lr_tha","ACOF_lr_tha","RCOF_lr_tha","PMIL_lr_tha","SMIL_lr_tha","POTA_lr_tha","SWPO_lr_tha","CASS_lr_tha","COWP_lr_tha","PIGE_lr_tha","SOYB_lr_tha","GROU_lr_tha","SUGC_lr_tha","COTT_lr_tha","COCO_lr_tha","TEAS_lr_tha","TOBA_lr_tha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"65","Zambia","North-Western","Ikelenge",9410.4107131958,0.84000001847744,0,0,0,137.905461192131,0,0,0,1.175999969244,0,43.5838378667831,412.558926105499,12859.8741452079,0,0,168.128909826279,722.522930145264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23757,9410.4107131958,0.84000001847744,0,0,0,137.905461192131,0,0,0,1.175999969244,0,43.5838378667831,412.558926105499,12859.8741452079,0,0,168.128909826279,722.522930145264,0,0,0,0,0,23757.0009235274,0,0,0,23757,100
"66","Zambia","North-Western","Kabompo",498.936325680989,0.167999997735023,0,0,0,0,0,0,0,0,24.3954367077185,0,16.9874161183834,604.804614488244,0,0,0.167999997735023,392.736818313599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6962.2318924312,18.9805848593165,0,0,0,0,0,0,0,0.582546162279517,116.985057722724,3.48926861336347,190.883115097364,1195.19668778341,0,0,13.1075052499905,1442.14530363713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11481.8,7461.16821811219,19.1485848570516,0,0,0,0,0,0,0,0.582546162279517,141.380494430442,3.48926861336347,207.870531215747,1800.00130227165,0,0,13.2755052477256,1834.88212195073,0,0,0,0,0,1538.1966113044,0,9943.60196155677,0,11481.8,100
"67","Zambia","North-Western","Kalumbila",10014.3779742816,173.957527753011,0,0,0,1.34799998998642,0,0,0,129.488196745832,38.1400904973911,49.1224608177615,311.60680883155,807.60451583425,0,0,23.6074561965088,409.741583775612,447.553550045784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12406.5,10014.3779742816,173.957527753011,0,0,0,1.34799998998642,0,0,0,129.488196745832,38.1400904973911,49.1224608177615,311.60680883155,807.60451583425,0,0,23.6074561965088,409.741583775612,447.553550045784,0,0,0,0,12406.5481647693,0,0,0,12406.5,100
"68","Zambia","North-Western","Kasempa",25424.7279598749,3991.57585168208,0,0,0,8.3493099548142,5.06922396642756,0,0,152.040755960016,120.990551938003,146.191035601646,1829.5984693637,117.038879745982,0,0,718.799515466076,1815.36896415624,12.6618852273693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3464.14385710079,529.771696887601,0,0,0,0,0,0,0,21.745518714878,17.6593184591155,19.4206484311194,259.443839966965,4.18187392134354,0,0,91.1688224815914,265.435195537665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39015.4,28888.8718169756,4521.34754856968,0,0,0,8.3493099548142,5.06922396642756,0,0,173.786274674894,138.649870397119,165.611684032765,2089.04230933067,121.220753667326,0,0,809.968337947668,2080.8041596939,12.6618852273693,0,0,0,0,34342.4124029372,0,4672.97077150107,0,39015.4,100
"69","Zambia","North-Western","Manyinga",3438.69964412033,19.4058560863549,1.55999994277954,0,0,0,0,0,0,0.72000002861023,65.8335699428053,1.16967774868168,93.6138314284782,2539.86738384767,0,0,3.85435240309083,1076.6517496109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5930.89726018542,117.342611166675,0,0,0,0,0,0,0,0.301169482722116,54.1295111201089,6.37425570597535,184.693189431395,667.57113567048,0,0,15.7156762013415,896.935371718825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15115.3,9369.59690430575,136.74846725303,1.55999994277954,0,0,0,0,0,0,1.02116951133235,119.963081062914,7.54393345465704,278.307020859873,3207.43851951815,0,0,19.5700286044323,1973.58712132973,0,0,0,0,0,7241.3760651597,0,7873.96018068294,0,15115.3,100
"70","Zambia","North-Western","Mufumbwe",20340.3032497558,2041.54471695937,0,0,0,0,0,0,0,11.0082465196831,10.3827480605292,37.2977729619743,613.448863433106,1176.60624209302,0,0,105.32960804761,5626.33455747597,0,0.474234658547999,0,0,62.5989792980727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7144.65327995518,656.665502695036,0,0,0,0,0,0,0,5.57282030495045,7.6881597599423,14.7250681230519,232.753262552126,262.115485602546,0,0,36.4670984045771,1653.27979972519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43421317808,0,0,0,0,0,40055.7,27484.956529711,2698.2102196544,0,0,0,0,0,0,0,16.5810668246336,18.0709078204715,52.0228410850261,846.202125985233,1438.72172769557,0,0,141.796706452187,7296.04857037924,0,0.474234658547999,0,0,62.5989792980727,30025.3292192637,0,10013.9204771226,16.43421317808,40039.2,100
"71","Zambia","North-Western","Mushindano",7775.15198058424,109.588833048141,1.87577382073348,0,0,4.81760895478612,0,0,0,0.177777782082558,39.3050334408502,45.9997736041613,393.390947160957,620.922805031677,0.114175051580351,0,34.6849885360747,385.3211868276,482.741601481318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8824.87270637808,135.692721879226,28.6194829504903,0,0,9.68276787249905,0.57191150048169,0,0,5.93641657816911,46.1260678497208,51.4523768655327,407.388547879863,449.734529295712,11.47913820129,0,41.6964541122929,618.395315621363,381.516387218911,0,0,0,0.336000025272369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20907.6,16600.0246869623,245.281554927368,30.4952567712238,0,0,14.5003768272852,0.57191150048169,0,0,6.11419436025167,85.4311012905709,97.452150469694,800.779495040821,1070.65733432739,11.5933132528703,0,76.3814426483676,1003.71650244896,864.257988700229,0,0,0,0.336000025272369,9894.0924853242,0,11013.5008242289,0,20907.6,100
"72","Zambia","North-Western","Mwinilunga",9608.59959527082,2.89600005745888,0,0,0,200.283322282682,0,0,0,2.96000009775162,0.768000021576881,50.47574671306,522.045009361886,12671.4180682676,0,0,219.901103802555,828.275818824768,5.8945844411711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4576.75585367279,25.0349818917502,0,0,0,143.17447412014,0,0,0,0,0.41674829228894,32.6964515757452,326.685812909253,7527.91158182491,0,0,138.769077545013,491.699260793411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37376.7,14185.3554489436,27.9309819492091,0,0,0,343.457796402822,0,0,0,2.96000009775162,1.18474831386582,83.1721982888052,848.73082227114,20199.3296500925,0,0,358.670181347568,1319.97507961818,5.8945844411711,0,0,0,0,24113.5172491413,0,13263.1442426253,0,37376.7,100
"73","Zambia","North-Western","Solwezi",40970.9456142963,737.754798257114,3.42439019680023,0,0,7.52795057474567,0,0,0,255.946855856003,225.777392225005,298.745487280766,1740.66181306584,2678.78739829592,0.218829054429572,0,174.064109731246,2703.99788865578,1479.4606462156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51277.3,40970.9456142963,737.754798257114,3.42439019680023,0,0,7.52795057474567,0,0,0,255.946855856003,225.777392225005,298.745487280766,1740.66181306584,2678.78739829592,0.218829054429572,0,174.064109731246,2703.99788865578,1479.4606462156,0,0,0,0,51277.3131737056,0,0,0,51277.3,100
"74","Zambia","North-Western","Zambezi",1706.17281976313,7.75376435366845,0,0,0,0,0,0,0,2.18688714020481,30.4960843080881,0,60.6317964357198,2001.38566884002,0,0,4.25240684115707,279.832287788391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6892.34794550904,40.1793334988094,0,0,0,0,0,0,0,7.98931993869806,82.6040584948063,0,228.631082860634,1605.88413923676,0,0,20.7830279351474,810.020857471304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13781.2,8598.52076527217,47.9330978524779,0,0,0,0,0,0,0,10.1762070789029,113.100142802894,0,289.262879296354,3607.26980807678,0,0,25.0354347763044,1089.8531452597,0,0,0,0,0,4092.71171547037,0,9688.43976494521,0,13781.2,100
