"","COUNTRY","NAME_1","NAME_2","MAIZ_l_ph_h_hp","SORG_l_ph_h_hp","BEAN_l_ph_h_hp","CHIC_l_ph_h_hp","LENT_l_ph_h_hp","WHEA_l_ph_h_hp","BARL_l_ph_h_hp","ACOF_l_ph_h_hp","RCOF_l_ph_h_hp","PMIL_l_ph_h_hp","SMIL_l_ph_h_hp","POTA_l_ph_h_hp","SWPO_l_ph_h_hp","CASS_l_ph_h_hp","COWP_l_ph_h_hp","PIGE_l_ph_h_hp","SOYB_l_ph_h_hp","GROU_l_ph_h_hp","SUGC_l_ph_h_hp","COTT_l_ph_h_hp","COCO_l_ph_h_hp","TEAS_l_ph_h_hp","TOBA_l_ph_h_hp","MAIZ_l_ph_l_hp","SORG_l_ph_l_hp","BEAN_l_ph_l_hp","CHIC_l_ph_l_hp","LENT_l_ph_l_hp","WHEA_l_ph_l_hp","BARL_l_ph_l_hp","ACOF_l_ph_l_hp","RCOF_l_ph_l_hp","PMIL_l_ph_l_hp","SMIL_l_ph_l_hp","POTA_l_ph_l_hp","SWPO_l_ph_l_hp","CASS_l_ph_l_hp","COWP_l_ph_l_hp","PIGE_l_ph_l_hp","SOYB_l_ph_l_hp","GROU_l_ph_l_hp","SUGC_l_ph_l_hp","COTT_l_ph_l_hp","COCO_l_ph_l_hp","TEAS_l_ph_l_hp","TOBA_l_ph_l_hp","MAIZ_h_ph_h_hp","SORG_h_ph_h_hp","BEAN_h_ph_h_hp","CHIC_h_ph_h_hp","LENT_h_ph_h_hp","WHEA_h_ph_h_hp","BARL_h_ph_h_hp","ACOF_h_ph_h_hp","RCOF_h_ph_h_hp","PMIL_h_ph_h_hp","SMIL_h_ph_h_hp","POTA_h_ph_h_hp","SWPO_h_ph_h_hp","CASS_h_ph_h_hp","COWP_h_ph_h_hp","PIGE_h_ph_h_hp","SOYB_h_ph_h_hp","GROU_h_ph_h_hp","SUGC_h_ph_h_hp","COTT_h_ph_h_hp","COCO_h_ph_h_hp","TEAS_h_ph_h_hp","TOBA_h_ph_h_hp","MAIZ_h_ph_l_hp","SORG_h_ph_l_hp","BEAN_h_ph_l_hp","CHIC_h_ph_l_hp","LENT_h_ph_l_hp","WHEA_h_ph_l_hp","BARL_h_ph_l_hp","ACOF_h_ph_l_hp","RCOF_h_ph_l_hp","PMIL_h_ph_l_hp","SMIL_h_ph_l_hp","POTA_h_ph_l_hp","SWPO_h_ph_l_hp","CASS_h_ph_l_hp","COWP_h_ph_l_hp","PIGE_h_ph_l_hp","SOYB_h_ph_l_hp","GROU_h_ph_l_hp","SUGC_h_ph_l_hp","COTT_h_ph_l_hp","COCO_h_ph_l_hp","TEAS_h_ph_l_hp","TOBA_h_ph_l_hp","total","MAIZ_ha","SORG_ha","BEAN_ha","CHIC_ha","LENT_ha","WHEA_ha","BARL_ha","ACOF_ha","RCOF_ha","PMIL_ha","SMIL_ha","POTA_ha","SWPO_ha","CASS_ha","COWP_ha","PIGE_ha","SOYB_ha","GROU_ha","SUGC_ha","COTT_ha","COCO_ha","TEAS_ha","TOBA_ha","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"18","Uganda","Bushenyi","Igara",30957.2248630524,452.145620107651,5000.14993858337,103.488290604204,0,322.198007106781,0,0,26.4731693267822,0,378.179260253906,69.2879985570908,3696.43027019501,23.4802443981171,0,0,0,34.669217986986,2.53170728683472,0,5.37073183059692,310.410920500755,192.364194154739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41574.4,30957.2248630524,452.145620107651,5000.14993858337,103.488290604204,0,322.198007106781,0,0,26.4731693267822,0,378.179260253906,69.2879985570908,3696.43027019501,23.4802443981171,0,0,0,34.669217986986,2.53170728683472,0,5.37073183059692,310.410920500755,192.364194154739,41574.4044339452,0,0,0,41574.4,100
"19","Uganda","Bushenyi","Ruhinda",27855.826171875,615.52151966095,5366.76120376587,59.2259992361069,0,291.062002778053,0,363.916004180908,125.218097686768,0,710.345916748047,101.38200032711,3161.44213867188,3182.92086791992,0.636000037193298,0,81.83922290802,891.882720947266,40.3160490989685,59.3358058929443,25.403561592102,201.250436782837,168.433264732361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43302.7,27855.826171875,615.52151966095,5366.76120376587,59.2259992361069,0,291.062002778053,0,363.916004180908,125.218097686768,0,710.345916748047,101.38200032711,3161.44213867188,3182.92086791992,0.636000037193298,0,81.83922290802,891.882720947266,40.3160490989685,59.3358058929443,25.403561592102,201.250436782837,168.433264732361,43302.7189848423,0,0,0,43302.7,100
"20","Uganda","Bushenyi","Sheema",19347.5561523438,427.037998199463,4411.60398864746,214.66799736023,0,335.094005584717,0,0,0,0,869.356018066406,1026.54002380371,33.0540008544922,474.544006347656,6.2999997138977,0,73.3080005645752,41.7059984207153,44.7639980316162,12.25,0,276.142002105713,159.872000694275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971.31396484375,40.318000793457,391.903991699219,65.681999206543,0,49.4560012817383,0,0,0,0,168.936004638672,166.606002807617,408.281982421875,0,2.2960000038147,0,38.8499984741211,12.0679998397827,21.2940006256104,4.22800016403198,0,29.4559993743896,15.4079999923706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31139.9,21318.8701171875,467.35599899292,4803.50798034668,280.349996566772,0,384.550006866455,0,0,0,0,1038.29202270508,1193.14602661133,441.335983276367,474.544006347656,8.5959997177124,0,112.157999038696,53.773998260498,66.0579986572266,16.478000164032,0,305.598001480103,175.280000686646,27753.7961907387,0,3386.09794616699,0,31139.9,100
"22","Uganda","Gulu","Aswa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194.55601263046,1128.38701820374,3480.69036102295,0,0,0,0,0,2881.58195495605,0,857.655986785889,0,945.191000461578,907.597659826279,7.4480000436306,459.06431388855,980.261991500854,2732.93128442764,147.098665969446,576.412004470825,0,75.4000006318092,108.924666471779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16483.2,1194.55601263046,1128.38701820374,3480.69036102295,0,0,0,0,0,2881.58195495605,0,857.655986785889,0,945.191000461578,907.597659826279,7.4480000436306,459.06431388855,980.261991500854,2732.93128442764,147.098665969446,576.412004470825,0,75.4000006318092,108.924666471779,0,0,16483.2009212915,0,16483.2,100
"23","Uganda","Gulu","Gulu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.503997802734,405.706001281738,1375.20401000977,0,0,0,0,0,1003.76397705078,0,237.073997497559,0,418.248001098633,403.622001647949,0,168.715995788574,426.695991516113,1100.86199951172,70.0900020599365,238.228004455566,6.32399988174438,42.8620014190674,35.6740007400513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6414.6,481.503997802734,405.706001281738,1375.20401000977,0,0,0,0,0,1003.76397705078,0,237.073997497559,0,418.248001098633,403.622001647949,0,168.715995788574,426.695991516113,1100.86199951172,70.0900020599365,238.228004455566,6.32399988174438,42.8620014190674,35.6740007400513,0,0,6414.57398176193,0,6414.6,100
"26","Uganda","Gulu","Omoro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373.82795333862,2141.12798881531,6406.43200683594,0,0,0,0,0,5492.135887146,0,1207.6579914093,3.16000002622604,1965.49799919128,2216.04797744751,40.7359995543957,1702.91201019287,3149.1100025177,5403.43999481201,353.414001941681,1301.72200393677,256.574003696442,243.622001647949,193.832002162933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35451.2,3373.82795333862,2141.12798881531,6406.43200683594,0,0,0,0,0,5492.135887146,0,1207.6579914093,3.16000002622604,1965.49799919128,2216.04797744751,40.7359995543957,1702.91201019287,3149.1100025177,5403.43999481201,353.414001941681,1301.72200393677,256.574003696442,243.622001647949,193.832002162933,0,0,35451.2498246729,0,35451.2,100
"29","Uganda","Iganga","Bugweri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5457.02001953125,62.8699998855591,2271.72595214844,0,0,0,0,0,1142.93399047852,0,147.015995025635,0,3672.00805664062,1382.73999023438,94.6120014190674,588.840026855469,516.701995849609,1309.03201293945,210.231990814209,288.139999389648,113.179999828339,52.5,42.3319997787476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17351.9,5457.02001953125,62.8699998855591,2271.72595214844,0,0,0,0,0,1142.93399047852,0,147.015995025635,0,3672.00805664062,1382.73999023438,94.6120014190674,588.840026855469,516.701995849609,1309.03201293945,210.231990814209,288.139999389648,113.179999828339,52.5,42.3319997787476,0,0,17351.8840308189,0,17351.9,100
"30","Uganda","Iganga","Busiki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12341.6019897461,496.206002235413,6291.97399902344,0,0,0,0,0,2843.04197692871,0,939.595973968506,0,7722.12399291992,3496.69995117188,261.919991970062,861.29404592514,1295.11201477051,3335.09600830078,285.478000640869,707.072002410889,0,121.161998748779,105.96399974823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41104.3,12341.6019897461,496.206002235413,6291.97399902344,0,0,0,0,0,2843.04197692871,0,939.595973968506,0,7722.12399291992,3496.69995117188,261.919991970062,861.29404592514,1295.11201477051,3335.09600830078,285.478000640869,707.072002410889,0,121.161998748779,105.96399974823,0,0,41104.3419485092,0,41104.3,100
"31","Uganda","Iganga","Kigulu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8316.85198974609,69.6779999732971,3548.98001098633,0,0,0,0,0,1911.66201782227,0,274.403991699219,0,6420.40209960938,2172.33195495605,263.042000055313,0,787.623989105225,2113.79795837402,8606.055809021,477.499992370605,277.756003379822,96.6620006561279,152.083998680115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35488.8,8316.85198974609,69.6779999732971,3548.98001098633,0,0,0,0,0,1911.66201782227,0,274.403991699219,0,6420.40209960938,2172.33195495605,263.042000055313,0,787.623989105225,2113.79795837402,8606.055809021,477.499992370605,277.756003379822,96.6620006561279,152.083998680115,0,0,35488.8318164349,0,35488.8,100
"32","Uganda","Iganga","Luuka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7803.20587158203,75.9099998474121,4753.67391967773,0,0,0,0,0,1872.28800964355,0,373.113986968994,0,5981.66790771484,2072.54397583008,40.9800002574921,0,860.454010009766,1739.2020111084,4195.69793510437,529.105983734131,320.616008758545,94.0639991760254,100.294001579285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30812.8,7803.20587158203,75.9099998474121,4753.67391967773,0,0,0,0,0,1872.28800964355,0,373.113986968994,0,5981.66790771484,2072.54397583008,40.9800002574921,0,860.454010009766,1739.2020111084,4195.69793510437,529.105983734131,320.616008758545,94.0639991760254,100.294001579285,0,0,30812.8176209927,0,30812.8,100
